x_m,z_m,gamma_deg,time_s,alpha_deg,cd,segment_index
0.0000,0.0000,32.0000,0.0000,15.0000,0.4780,0
0.0833,0.0521,32.0570,0.0025,15.0000,0.4780,0
0.1667,0.1044,32.1135,0.0051,15.0000,0.4780,0
0.2500,0.1567,32.1697,0.0077,15.0000,0.4780,0
0.3333,0.2092,32.2255,0.0103,15.0000,0.4780,0
0.4167,0.2618,32.2809,0.0129,15.0000,0.4780,0
0.5000,0.3145,32.3359,0.0156,15.0000,0.4780,0
0.5833,0.3673,32.3904,0.0183,15.0000,0.4780,0
0.6667,0.4202,32.4445,0.0209,15.0000,0.4780,0
0.7500,0.4733,32.4982,0.0237,15.0000,0.4780,0
0.8333,0.5264,32.5515,0.0264,15.0000,0.4780,0
0.9167,0.5796,32.6043,0.0291,15.0000,0.4780,0
1.0000,0.6330,32.6566,0.0319,15.0000,0.4780,0
1.0833,0.6865,32.7084,0.0347,15.0000,0.4780,0
1.1667,0.7400,32.7598,0.0375,15.0000,0.4780,0
1.2500,0.7937,32.8107,0.0403,15.0000,0.4780,0
1.3333,0.8475,32.8611,0.0432,15.0000,0.4780,0
1.4167,0.9014,32.9110,0.0461,15.0000,0.4780,0
1.5000,0.9554,32.9604,0.0490,15.0000,0.4780,0
1.5833,1.0094,33.0093,0.0519,15.0000,0.4780,0
1.6667,1.0636,33.0576,0.0549,15.0000,0.4780,0
1.7500,1.1179,33.1054,0.0578,15.0000,0.4780,0
1.8333,1.1723,33.1526,0.0608,15.0000,0.4780,0
1.9167,1.2268,33.1993,0.0638,15.0000,0.4780,0
2.0000,1.2814,33.2454,0.0669,15.0000,0.4780,0
2.0833,1.3360,33.2909,0.0699,15.0000,0.4780,0
2.1667,1.3908,33.3359,0.0730,15.0000,0.4780,0
2.2500,1.4457,33.3802,0.0761,15.0000,0.4780,0
2.3333,1.5006,33.4239,0.0793,15.0000,0.4780,0
2.4167,1.5557,33.4670,0.0824,15.0000,0.4780,0
2.5000,1.6108,33.5095,0.0856,15.0000,0.4780,0
2.5833,1.6660,33.5513,0.0888,15.0000,0.4780,0
2.6667,1.7213,33.5924,0.0920,15.0000,0.4780,0
2.7500,1.7767,33.6329,0.0953,15.0000,0.4780,0
2.8333,1.8322,33.6727,0.0986,15.0000,0.4780,0
2.9167,1.8877,33.7117,0.1019,15.0000,0.4780,0
