x_m,z_m,gamma_deg,time_s,alpha_deg,cd,segment_index
0.0000,0.0000,32.0000,0.0000,10.0000,0.3701,0
0.0833,0.0521,32.0083,0.0032,10.0000,0.3701,0
0.1667,0.1042,32.0161,0.0065,10.0000,0.3701,0
0.2500,0.1563,32.0233,0.0098,10.0000,0.3701,0
0.3333,0.2084,32.0298,0.0130,10.0000,0.3701,0
0.4167,0.2606,32.0358,0.0163,10.0000,0.3701,0
0.5000,0.3127,32.0412,0.0197,10.0000,0.3701,0
0.5833,0.3649,32.0460,0.0230,10.0000,0.3701,0
0.6667,0.4170,32.0502,0.0264,10.0000,0.3701,0
0.7500,0.4692,32.0538,0.0298,10.0000,0.3701,0
0.8333,0.5214,32.0567,0.0332,10.0000,0.3701,0
0.9167,0.5736,32.0589,0.0366,10.0000,0.3701,0
1.0000,0.6258,32.0606,0.0400,10.0000,0.3701,0
1.0833,0.6780,32.0615,0.0435,10.0000,0.3701,0
1.1667,0.7302,32.0618,0.0470,10.0000,0.3701,0
1.2500,0.7824,32.0614,0.0505,10.0000,0.3701,0
1.3333,0.8346,32.0603,0.0540,10.0000,0.3701,0
1.4167,0.8868,32.0586,0.0575,10.0000,0.3701,0
1.5000,0.9389,32.0561,0.0611,10.0000,0.3701,0
1.5833,0.9911,32.0529,0.0647,10.0000,0.3701,0
1.6667,1.0433,32.0490,0.0683,10.0000,0.3701,0
1.7500,1.0955,32.0443,0.0719,10.0000,0.3701,0
1.8333,1.1476,32.0389,0.0756,10.0000,0.3701,0
1.9167,1.1998,32.0328,0.0792,10.0000,0.3701,0
2.0000,1.2519,32.0258,0.0829,10.0000,0.3701,0
2.0833,1.3040,32.0181,0.0866,10.0000,0.3701,0
2.1667,1.3561,32.0097,0.0904,10.0000,0.3701,0
2.2500,1.4082,32.0004,0.0941,10.0000,0.3701,0
2.3333,1.4603,31.9903,0.0979,10.0000,0.3701,0
2.4167,1.5123,31.9794,0.1017,10.0000,0.3701,0
2.5000,1.5643,31.9677,0.1055,10.0000,0.3701,0
2.5833,1.6163,31.9551,0.1093,10.0000,0.3701,0
2.6667,1.6683,31.9417,0.1132,10.0000,0.3701,0
2.7500,1.7202,31.9274,0.1171,10.0000,0.3701,0
2.8333,1.7721,31.9122,0.1210,10.0000,0.3701,0
2.9167,1.8240,31.8961,0.1249,10.0000,0.3701,0
3.0000,1.8759,31.8792,0.1289,10.0000,0.3701,0
3.0833,1.9277,31.8613,0.1328,10.0000,0.3701,0
3.1667,1.9795,31.8425,0.1368,10.0000,0.3701,0
3.2500,2.0312,31.8228,0.1408,10.0000,0.3701,0
3.3333,2.0829,31.8021,0.1449,10.0000,0.3701,0
3.4167,2.1345,31.7804,0.1489,10.0000,0.3701,0
3.5000,2.1861,31.7578,0.1530,10.0000,0.3701,0
3.5833,2.2377,31.7341,0.1571,10.0000,0.3701,0
3.6667,2.2892,31.7095,0.1613,10.0000,0.3701,0
3.7500,2.3407,31.6839,0.1654,10.0000,0.3701,0
3.8333,2.3921,31.6572,0.1696,10.0000,0.3701,0
3.9167,2.4434,31.6294,0.1738,10.0000,0.3701,0
4.0000,2.4947,31.6006,0.1781,10.0000,0.3701,0
4.0833,2.5460,31.5708,0.1823,10.0000,0.3701,0
4.1667,2.5972,31.5398,0.1866,10.0000,0.3701,0
4.2500,2.6483,31.5077,0.1909,10.0000,0.3701,0
4.3333,2.6993,31.4745,0.1952,10.0000,0.3701,0
4.4167,2.7503,31.4402,0.1996,10.0000,0.3701,0
4.5000,2.8012,31.4047,0.2040,10.0000,0.3701,0
4.5833,2.8520,31.3680,0.2084,10.0000,0.3701,0
4.6667,2.9028,31.3302,0.2128,10.0000,0.3701,0
4.7500,2.9535,31.2911,0.2172,10.0000,0.3701,0
4.8333,3.0041,31.2509,0.2217,10.0000,0.3701,0
4.9167,3.0546,31.2094,0.2262,10.0000,0.3701,0
5.0000,3.1051,31.1666,0.2307,10.0000,0.3701,0
5.0833,3.1554,31.1225,0.2353,10.0000,0.3701,0
5.1667,3.2057,31.0772,0.2399,10.0000,0.3701,0
5.2500,3.2559,31.0306,0.2445,10.0000,0.3701,0
5.3333,3.3060,30.9826,0.2491,10.0000,0.3701,0
5.4167,3.3560,30.9333,0.2538,10.0000,0.3701,0
5.5000,3.4059,30.8826,0.2585,10.0000,0.3701,0
5.5833,3.4556,30.8305,0.2632,10.0000,0.3701,0
5.6667,3.5053,30.7770,0.2679,10.0000,0.3701,0
5.7500,3.5549,30.7221,0.2727,10.0000,0.3701,0
5.8333,3.6044,30.6658,0.2775,10.0000,0.3701,0
5.9167,3.6537,30.6080,0.2823,10.0000,0.3701,0
6.0000,3.7030,30.5459,0.2871,10.0000,0.3701,0
6.0833,3.7520,30.3705,0.2920,-10.0000,0.3701,1
6.1667,3.8006,30.1923,0.2969,-10.0000,0.3701,1
6.2500,3.8490,30.0126,0.3018,-10.0000,0.3701,1
6.3333,3.8969,29.8316,0.3068,-10.0000,0.3701,1
6.4167,3.9445,29.6491,0.3117,-10.0000,0.3701,1
6.5000,3.9918,29.4651,0.3167,-10.0000,0.3701,1
6.5833,4.0387,29.2797,0.3217,-10.0000,0.3701,1
6.6667,4.0852,29.0927,0.3267,-10.0000,0.3701,1
6.7500,4.1314,28.9043,0.3318,-10.0000,0.3701,1
6.8333,4.1773,28.7143,0.3368,-10.0000,0.3701,1
6.9167,4.2227,28.5228,0.3419,-10.0000,0.3701,1
7.0000,4.2678,28.3297,0.3470,-10.0000,0.3701,1
7.0833,4.3126,28.1350,0.3522,-10.0000,0.3701,1
7.1667,4.3570,27.9387,0.3573,-10.0000,0.3701,1
7.2500,4.4010,27.7407,0.3625,-10.0000,0.3701,1
7.3333,4.4446,27.5411,0.3677,-10.0000,0.3701,1
7.4167,4.4879,27.3398,0.3729,-10.0000,0.3701,1
7.5000,4.5308,27.1368,0.3782,-10.0000,0.3701,1
7.5833,4.5733,26.9321,0.3834,-10.0000,0.3701,1
7.6667,4.6154,26.7256,0.3887,-10.0000,0.3701,1
7.7500,4.6572,26.5174,0.3940,-10.0000,0.3701,1
7.8333,4.6986,26.3074,0.3994,-10.0000,0.3701,1
7.9167,4.7396,26.0956,0.4047,-10.0000,0.3701,1
8.0000,4.7802,25.8820,0.4101,-10.0000,0.3701,1
8.0833,4.8205,25.6665,0.4155,-10.0000,0.3701,1
8.1667,4.8603,25.4491,0.4210,-10.0000,0.3701,1
8.2500,4.8998,25.2298,0.4264,-10.0000,0.3701,1
8.3333,4.9389,25.0086,0.4319,-10.0000,0.3701,1
8.4167,4.9775,24.7855,0.4374,-10.0000,0.3701,1
8.5000,5.0158,24.5604,0.4429,-10.0000,0.3701,1
8.5833,5.0537,24.3333,0.4485,-10.0000,0.3701,1
8.6667,5.0912,24.1042,0.4541,-10.0000,0.3701,1
8.7500,5.1283,23.8730,0.4597,-10.0000,0.3701,1
8.8333,5.1650,23.6398,0.4653,-10.0000,0.3701,1
8.9167,5.2012,23.4045,0.4709,-10.0000,0.3701,1
9.0000,5.2371,23.1671,0.4766,-10.0000,0.3701,1
9.0833,5.2725,22.9275,0.4823,-10.0000,0.3701,1
9.1667,5.3076,22.6858,0.4880,-10.0000,0.3701,1
9.2500,5.3422,22.4419,0.4938,-10.0000,0.3701,1
9.3333,5.3764,22.1957,0.4995,-10.0000,0.3701,1
9.4167,5.4102,21.9474,0.5053,-10.0000,0.3701,1
9.5000,5.4436,21.6967,0.5112,-10.0000,0.3701,1
9.5833,5.4765,21.4438,0.5170,-10.0000,0.3701,1
9.6667,5.5090,21.1886,0.5229,-10.0000,0.3701,1
9.7500,5.5411,20.9310,0.5288,-10.0000,0.3701,1
9.8333,5.5728,20.6711,0.5347,-10.0000,0.3701,1
9.9167,5.6040,20.4087,0.5406,-10.0000,0.3701,1
10.0000,5.6348,20.1440,0.5466,-10.0000,0.3701,1
10.0833,5.6651,19.8767,0.5526,-10.0000,0.3701,1
10.1667,5.6951,19.6071,0.5586,-10.0000,0.3701,1
10.2500,5.7245,19.3349,0.5647,-10.0000,0.3701,1
10.3333,5.7535,19.0602,0.5707,-10.0000,0.3701,1
10.4167,5.7821,18.7830,0.5768,-10.0000,0.3701,1
10.5000,5.8102,18.5031,0.5830,-10.0000,0.3701,1
10.5833,5.8379,18.2207,0.5891,-10.0000,0.3701,1
10.6667,5.8651,17.9356,0.5953,-10.0000,0.3701,1
10.7500,5.8918,17.6479,0.6015,-10.0000,0.3701,1
10.8333,5.9181,17.3575,0.6077,-10.0000,0.3701,1
