x_m,z_m,gamma_deg,time_s,alpha_deg,cd,segment_index
10.9167,5.9439,17.0644,0.6140,-10.0000,0.3701,1
11.0000,5.9693,16.7686,0.6202,-10.0000,0.3701,1
11.0833,5.9941,16.4700,0.6266,-10.0000,0.3701,1
11.1667,6.0185,16.1686,0.6329,-10.0000,0.3701,1
11.2500,6.0425,15.8645,0.6393,-10.0000,0.3701,1
11.3333,6.0659,15.5574,0.6456,-10.0000,0.3701,1
11.4167,6.0889,15.2476,0.6521,-10.0000,0.3701,1
11.5000,6.1113,14.9348,0.6585,-10.0000,0.3701,1
11.5833,6.1333,14.6191,0.6650,-10.0000,0.3701,1
11.6667,6.1548,14.3005,0.6715,-10.0000,0.3701,1
11.7500,6.1758,13.9789,0.6780,-10.0000,0.3701,1
11.8333,6.1963,13.6543,0.6846,-10.0000,0.3701,1
11.9167,6.2163,13.3268,0.6911,-10.0000,0.3701,1
12.0000,6.2358,12.9962,0.6977,-10.0000,0.3701,1
12.0833,6.2547,12.6625,0.7044,-10.0000,0.3701,1
12.1667,6.2732,12.3258,0.7110,-10.0000,0.3701,1
12.2500,6.2912,11.9859,0.7177,-10.0000,0.3701,1
12.3333,6.3086,11.6430,0.7245,-10.0000,0.3701,1
12.4167,6.3255,11.2969,0.7312,-10.0000,0.3701,1
12.5000,6.3419,10.9476,0.7380,-10.0000,0.3701,1
12.5833,6.3577,10.5951,0.7448,-10.0000,0.3701,1
12.6667,6.3731,10.2395,0.7516,-10.0000,0.3701,1
12.7500,6.3878,9.8806,0.7585,-10.0000,0.3701,1
12.8333,6.4021,9.5185,0.7654,-10.0000,0.3701,1
12.9167,6.4158,9.1531,0.7723,-10.0000,0.3701,1
13.0000,6.4289,8.7844,0.7793,-10.0000,0.3701,1
13.0833,6.4415,8.4125,0.7863,-10.0000,0.3701,1
13.1667,6.4536,8.0372,0.7933,-10.0000,0.3701,1
13.2500,6.4651,7.6586,0.8003,-10.0000,0.3701,1
13.3333,6.4760,7.2767,0.8074,-10.0000,0.3701,1
13.4167,6.4864,6.8914,0.8145,-10.0000,0.3701,1
13.5000,6.4961,6.5027,0.8216,-10.0000,0.3701,1
13.5833,6.5054,6.1107,0.8288,-10.0000,0.3701,1
13.6667,6.5140,5.7153,0.8360,-10.0000,0.3701,1
13.7500,6.5220,5.3165,0.8432,-10.0000,0.3701,1
13.8333,6.5295,4.9143,0.8504,-10.0000,0.3701,1
13.9167,6.5364,4.5086,0.8577,-10.0000,0.3701,1
14.0000,6.5426,4.0996,0.8651,-10.0000,0.3701,1
14.0833,6.5483,3.6871,0.8724,-10.0000,0.3701,1
14.1667,6.5534,3.2712,0.8798,-10.0000,0.3701,1
14.2500,6.5578,2.8519,0.8872,-10.0000,0.3701,1
14.3333,6.5617,2.4292,0.8946,-10.0000,0.3701,1
14.4167,6.5649,2.0030,0.9021,-10.0000,0.3701,1
14.5000,6.5675,1.5734,0.9096,-10.0000,0.3701,1
14.5833,6.5695,1.1404,0.9172,-10.0000,0.3701,1
14.6667,6.5708,0.7040,0.9247,-10.0000,0.3701,1
14.7500,6.5715,0.2641,0.9323,-10.0000,0.3701,1
14.8333,6.5716,-0.1791,0.9400,-10.0000,0.3701,1
14.9167,6.5710,-0.6258,0.9476,-10.0000,0.3701,1
15.0000,6.5698,-1.0758,0.9553,-10.0000,0.3701,1
15.0833,6.5679,-1.5292,0.9631,-10.0000,0.3701,1
15.1667,6.5653,-1.9860,0.9708,-10.0000,0.3701,1
15.2500,6.5621,-2.4461,0.9786,-10.0000,0.3701,1
15.3333,6.5582,-2.9095,0.9865,-10.0000,0.3701,1
15.4167,6.5536,-3.3762,0.9944,-10.0000,0.3701,1
15.5000,6.5484,-3.8462,1.0023,-10.0000,0.3701,1
15.5833,6.5424,-4.3195,1.0102,-10.0000,0.3701,1
15.6667,6.5358,-4.7960,1.0182,-10.0000,0.3701,1
15.7500,6.5284,-5.2757,1.0262,-10.0000,0.3701,1
15.8333,6.5204,-5.7586,1.0342,-10.0000,0.3701,1
15.9167,6.5116,-6.2446,1.0423,-10.0000,0.3701,1
16.0000,6.5021,-6.7338,1.0504,-10.0000,0.3701,1
16.0833,6.4919,-7.2260,1.0586,-10.0000,0.3701,1
16.1667,6.4810,-7.7213,1.0668,-10.0000,0.3701,1
16.2500,6.4693,-8.2196,1.0750,-10.0000,0.3701,1
16.3333,6.4569,-8.7208,1.0833,-10.0000,0.3701,1
16.4167,6.4438,-9.2250,1.0916,-10.0000,0.3701,1
16.5000,6.4299,-9.7320,1.0999,-10.0000,0.3701,1
16.5833,6.4152,-10.2419,1.1083,-10.0000,0.3701,1
16.6667,6.3997,-10.7546,1.1167,-10.0000,0.3701,1
16.7500,6.3835,-11.2700,1.1252,-10.0000,0.3701,1
16.8333,6.3665,-11.7880,1.1337,-10.0000,0.3701,1
16.9167,6.3487,-12.3088,1.1422,-10.0000,0.3701,1
17.0000,6.3302,-12.8319,1.1508,-10.0000,0.3701,1
17.0833,6.3108,-13.3269,1.1594,-4.0000,0.2607,2
17.1667,6.2907,-13.8225,1.1680,-4.0000,0.2607,2
17.2500,6.2698,-14.3191,1.1767,-4.0000,0.2607,2
17.3333,6.2481,-14.8167,1.1854,-4.0000,0.2607,2
17.4167,6.2257,-15.3153,1.1941,-4.0000,0.2607,2
17.5000,6.2025,-15.8148,1.2028,-4.0000,0.2607,2
17.5833,6.1785,-16.3151,1.2116,-4.0000,0.2607,2
17.6667,6.1537,-16.8161,1.2204,-4.0000,0.2607,2
17.7500,6.1281,-17.3178,1.2293,-4.0000,0.2607,2
17.8333,6.1017,-17.8201,1.2381,-4.0000,0.2607,2
17.9167,6.0745,-18.3230,1.2470,-4.0000,0.2607,2
18.0000,6.0465,-18.8263,1.2559,-4.0000,0.2607,2
18.0833,6.0177,-19.3300,1.2649,-4.0000,0.2607,2
18.1667,5.9881,-19.8340,1.2739,-4.0000,0.2607,2
18.2500,5.9576,-20.3382,1.2829,-4.0000,0.2607,2
18.3333,5.9263,-20.8427,1.2919,-4.0000,0.2607,2
18.4167,5.8941,-21.3473,1.3010,-4.0000,0.2607,2
18.5000,5.8611,-21.8519,1.3101,-4.0000,0.2607,2
18.5833,5.8273,-22.3565,1.3192,-4.0000,0.2607,2
18.6667,5.7926,-22.8610,1.3284,-4.0000,0.2607,2
18.7500,5.7570,-23.3653,1.3376,-4.0000,0.2607,2
18.8333,5.7206,-23.8694,1.3468,-4.0000,0.2607,2
18.9167,5.6833,-24.3733,1.3561,-4.0000,0.2607,2
19.0000,5.6451,-24.8767,1.3654,-4.0000,0.2607,2
19.0833,5.6060,-25.3797,1.3747,-4.0000,0.2607,2
19.1667,5.5660,-25.8822,1.3841,-4.0000,0.2607,2
19.2500,5.5251,-26.3842,1.3935,-4.0000,0.2607,2
19.3333,5.4833,-26.8855,1.4029,-4.0000,0.2607,2
19.4167,5.4406,-27.3862,1.4124,-4.0000,0.2607,2
19.5000,5.3970,-27.8861,1.4219,-4.0000,0.2607,2
19.5833,5.3524,-28.3851,1.4314,-4.0000,0.2607,2
19.6667,5.3069,-28.8833,1.4410,-4.0000,0.2607,2
19.7500,5.2605,-29.3806,1.4506,-4.0000,0.2607,2
19.8333,5.2131,-29.8769,1.4602,-4.0000,0.2607,2
19.9167,5.1647,-30.3721,1.4699,-4.0000,0.2607,2
20.0000,5.1154,-30.8662,1.4796,-4.0000,0.2607,2
20.0833,5.0651,-31.3592,1.4893,-4.0000,0.2607,2
20.1667,5.0138,-31.8509,1.4991,-4.0000,0.2607,2
20.2500,4.9616,-32.3414,1.5089,-4.0000,0.2607,2
20.3333,4.9083,-32.8306,1.5188,-4.0000,0.2607,2
20.4167,4.8540,-33.3184,1.5287,-4.0000,0.2607,2
20.5000,4.7987,-33.8047,1.5386,-4.0000,0.2607,2
20.5833,4.7424,-34.2897,1.5486,-4.0000,0.2607,2
20.6667,4.6851,-34.7731,1.5586,-4.0000,0.2607,2
20.7500,4.6267,-35.2549,1.5687,-4.0000,0.2607,2
20.8333,4.5673,-35.7352,1.5788,-4.0000,0.2607,2
20.9167,4.5068,-36.2138,1.5889,-4.0000,0.2607,2
21.0000,4.4452,-36.6907,1.5991,-4.0000,0.2607,2
21.0833,4.3826,-37.1659,1.6093,-4.0000,0.2607,2
21.1667,4.3189,-37.6394,1.6196,-4.0000,0.2607,2
21.2500,4.2541,-38.1111,1.6299,-4.0000,0.2607,2
21.3333,4.1881,-38.5809,1.6403,-4.0000,0.2607,2
21.4167,4.1211,-39.0489,1.6506,-4.0000,0.2607,2
21.5000,4.0529,-39.5150,1.6611,-4.0000,0.2607,2
21.5833,3.9836,-39.9792,1.6716,-4.0000,0.2607,2
21.6667,3.9132,-40.4415,1.6821,-4.0000,0.2607,2
21.7500,3.8416,-40.9018,1.6927,-4.0000,0.2607,2
21.8333,3.7688,-41.3600,1.7033,-4.0000,0.2607,2
21.9167,3.6948,-41.8163,1.7140,-4.0000,0.2607,2
22.0000,3.6197,-42.2705,1.7247,-4.0000,0.2607,2
22.0833,3.5433,-42.7227,1.7355,-4.0000,0.2607,2
22.1667,3.4658,-43.1727,1.7463,-4.0000,0.2607,2
22.2500,3.3870,-43.6207,1.7571,-4.0000,0.2607,2
22.3333,3.3069,-44.0665,1.7681,-4.0000,0.2607,2
22.4167,3.2256,-44.5103,1.7790,-4.0000,0.2607,2
22.5000,3.1431,-44.9518,1.7901,-4.0000,0.2607,2
22.5833,3.0593,-45.3912,1.8011,-4.0000,0.2607,2
22.6667,2.9741,-45.8284,1.8123,-4.0000,0.2607,2
22.7500,2.8877,-46.2635,1.8234,-4.0000,0.2607,2
22.8333,2.7999,-46.6963,1.8347,-4.0000,0.2607,2
22.9167,2.7108,-47.1270,1.8460,-4.0000,0.2607,2
23.0000,2.6204,-47.5555,1.8573,-4.0000,0.2607,2
23.0833,2.5286,-47.9817,1.8687,-4.0000,0.2607,2
23.1667,2.4354,-48.4057,1.8802,-4.0000,0.2607,2
23.2500,2.3408,-48.8275,1.8917,-4.0000,0.2607,2
23.3333,2.2448,-49.2471,1.9033,-4.0000,0.2607,2
23.4167,2.1474,-49.6645,1.9150,-4.0000,0.2607,2
23.5000,2.0486,-50.0797,1.9267,-4.0000,0.2607,2
23.5833,1.9482,-50.4926,1.9385,-4.0000,0.2607,2
23.6667,1.8464,-50.9033,1.9503,-4.0000,0.2607,2
23.7500,1.7431,-51.3118,1.9622,-4.0000,0.2607,2
23.8333,1.6383,-51.7181,1.9742,-4.0000,0.2607,2
23.9167,1.5319,-52.1222,1.9862,-4.0000,0.2607,2
24.0000,1.4240,-52.5242,1.9983,-4.0000,0.2607,2
24.0833,1.3145,-52.9239,2.0105,-4.0000,0.2607,2
24.1667,1.2035,-53.3214,2.0227,-4.0000,0.2607,2
24.2500,1.0908,-53.7168,2.0351,-4.0000,0.2607,2
24.3333,0.9764,-54.1101,2.0475,-4.0000,0.2607,2
24.4167,0.8604,-54.5011,2.0599,-4.0000,0.2607,2
24.5000,0.7427,-54.8901,2.0725,-4.0000,0.2607,2
24.5833,0.6234,-55.2769,2.0851,-4.0000,0.2607,2
24.6667,0.5022,-55.6616,2.0978,-4.0000,0.2607,2
24.7500,0.3794,-56.0443,2.1106,-4.0000,0.2607,2
24.8333,0.2547,-56.4248,2.1234,-4.0000,0.2607,2
24.9167,0.1283,-56.8033,2.1364,-4.0000,0.2607,2
25.0000,-0.0000,-57.1798,2.1494,-4.0000,0.2607,2
